Period,Firm,Revenue,Profit,Labor_cost,Capital_cost,Wage_cost,Price,Marginal_cost,Market_share,Income
2025-01-01,Enter_A,182000,17000,40000,33000,32000,54.06585285177396,46.51438693906162,23.79084967320261,182000
2025-01-01,Enter_B,131000,45000,59000,38000,12000,51.44091460070617,45.9462050497789,17.12418300653595,131000
2025-01-01,Enter_C,172000,39000,57000,16000,37000,62.83831568974037,38.4695916056623,22.48366013071896,172000
2025-01-01,Enter_D,94000,31000,44000,41000,36000,77.99026802006789,32.00616936888755,12.2875816993464,94000
2025-01-01,Enter_E,186000,25000,34000,17000,14000,92.5281396331007,39.80993559829464,24.31372549019608,186000
2025-02-01,Enter_A,118000,23000,28000,40000,30000,66.16256779355044,37.51097242500768,19.50413223140496,118000
2025-02-01,Enter_B,97000,16000,27000,49000,23000,77.37424253012685,37.72211618167284,16.03305785123967,97000
2025-02-01,Enter_C,83000,13000,21000,20000,31000,88.26971955402958,39.84714500415766,13.71900826446281,83000
2025-02-01,Enter_D,168000,27000,45000,48000,19000,112.6379145299354,76.41970745238523,27.76859504132231,168000
2025-02-01,Enter_E,139000,24000,27000,28000,32000,86.45839820180765,79.46037276940638,22.97520661157025,139000
2025-03-01,Enter_A,164000,33000,45000,39000,37000,92.49239733806792,45.86785463782179,19.02552204176334,164000
2025-03-01,Enter_B,159000,38000,34000,15000,34000,119.0820855620362,94.93195076683647,18.44547563805105,159000
2025-03-01,Enter_C,188000,17000,43000,25000,28000,99.48001406933321,77.00639245192761,21.80974477958237,188000
2025-03-01,Enter_D,161000,42000,24000,42000,16000,109.502700445286,63.4852889402504,18.67749419953596,161000
2025-03-01,Enter_E,190000,42000,42000,38000,14000,101.0724324836645,72.12497298057318,22.04176334106728,190000
