Period;Firm;Revenue;Profit;Labor_cost;Capital_cost;Wage_cost;Price;Marginal_cost;Market_share;Income
2025-01-01;Enter_A;182000;17000;40000;33000;32000;54,06585285;46,51438694;23,79084967;182000
2025-01-01;Enter_B;131000;45000;59000;38000;12000;51,4409146;45,94620505;17,12418301;131000
2025-01-01;Enter_C;172000;39000;57000;16000;37000;62,83831569;38,46959161;22,48366013;172000
2025-01-01;Enter_D;94000;31000;44000;41000;36000;77,99026802;32,00616937;12,2875817;94000
2025-01-01;Enter_E;186000;25000;34000;17000;14000;92,52813963;39,8099356;24,31372549;186000
2025-02-01;Enter_A;118000;23000;28000;40000;30000;66,16256779;37,51097243;19,50413223;118000
2025-02-01;Enter_B;97000;16000;27000;49000;23000;77,37424253;37,72211618;16,03305785;97000
2025-02-01;Enter_C;83000;13000;21000;20000;31000;88,26971955;39,847145;13,71900826;83000
2025-02-01;Enter_D;168000;27000;45000;48000;19000;112,6379145;76,41970745;27,76859504;168000
2025-02-01;Enter_E;139000;24000;27000;28000;32000;86,4583982;79,46037277;22,97520661;139000
2025-03-01;Enter_A;164000;33000;45000;39000;37000;92,49239734;45,86785464;19,02552204;164000
2025-03-01;Enter_B;159000;38000;34000;15000;34000;119,0820856;94,93195077;18,44547564;159000
2025-03-01;Enter_C;188000;17000;43000;25000;28000;99,48001407;77,00639245;21,80974478;188000
2025-03-01;Enter_D;161000;42000;24000;42000;16000;109,5027004;63,48528894;18,6774942;161000
2025-03-01;Enter_E;190000;42000;42000;38000;14000;101,0724325;72,12497298;22,04176334;190000
